iter	Passed	Remaining
0	5	119693
1	11	111831
2	17	116385
3	19	95377
4	21	85019
5	26	88443
6	31	90679
7	38	95379
8	43	97258
9	49	98830
10	53	97776
11	58	98017
12	63	97805
13	67	96588
14	71	95607
15	76	95857
16	80	94906
17	85	94888
18	86	90905
19	91	91065
20	96	91345
21	100	91199
22	105	91321
23	109	91123
24	111	89018
25	116	89458
26	120	89298
27	121	86641
28	126	87022
29	127	84976
30	132	85313
31	135	84336
32	139	84650
33	144	84938
34	145	83273
35	150	83543
36	155	83712
37	160	84053
38	164	84149
39	168	84222
40	173	84444
41	178	84652
42	183	84948
43	186	84773
44	191	84905
45	196	85060
46	197	84005
47	202	84166
48	204	83440
49	205	81958
50	209	82139
51	214	82235
52	219	82508
53	223	82445
54	227	82538
55	230	82039
56	230	80801
57	235	81084
58	237	80174
59	242	80552
60	246	80692
61	251	80915
62	256	81170
63	261	81422
64	266	81591
65	270	81825
66	275	81947
67	280	82209
68	284	82187
69	288	82094
70	293	82451
71	298	82733
72	303	82745
73	307	82858
74	308	81875
75	313	82066
76	317	82185
77	322	82371
78	322	81444
79	327	81635
80	332	81778
81	337	81968
82	342	82204
83	343	81402
84	348	81578
85	353	81748
86	358	81947
87	363	82172
88	368	82360
89	372	82461
90	377	82566
91	382	82764
92	383	82073
93	388	82216
94	393	82371
95	398	82570
96	402	82673
97	407	82827
98	413	83045
99	417	83071
100	422	83221
101	427	83325
102	427	82622
103	432	82652
104	436	82794
105	442	83032
106	443	82473
107	446	82192
108	451	82390
109	456	82497
110	460	82546
111	465	82669
112	470	82783
113	474	82858
114	479	82986
115	484	83077
116	485	82491
117	490	82625
118	495	82713
119	500	82837
120	504	82868
121	509	82962
122	509	82366
123	514	82477
124	519	82538
125	524	82680
126	528	82767
127	533	82812
128	538	82938
129	539	82492
130	544	82540
131	548	82558
132	553	82647
133	558	82797
134	563	82962
135	568	83057
136	569	82639
137	574	82675
138	579	82755
139	584	82847
140	588	82947
141	593	83028
142	598	83126
143	603	83157
144	608	83269
145	613	83402
146	617	83448
147	622	83541
148	627	83609
149	631	83627
150	636	83635
151	640	83687
152	646	83821
153	651	83907
154	652	83595
155	657	83641
156	662	83731
157	667	83805
158	672	83894
159	677	83981
160	682	84055
161	687	84151
162	692	84266
163	697	84312
164	700	84255
165	705	84302
166	709	84292
167	715	84487
168	720	84573
169	721	84135
170	726	84290
171	733	84504
172	738	84607
173	743	84669
174	748	84759
175	752	84797
176	757	84781
177	761	84791
178	766	84822
179	771	84903
180	775	84928
181	780	84987
182	785	85080
183	790	85113
184	791	84727
185	796	84830
186	800	84858
187	805	84931
188	810	85007
189	815	85043
190	820	85096
191	825	85159
192	830	85205
193	835	85278
194	839	85313
195	841	85003
196	845	85021
197	850	85073
198	855	85076
199	859	85121
200	864	85194
201	869	85208
202	873	85214
203	878	85271
204	883	85343
205	888	85412
206	894	85494
207	898	85525
208	902	85506
209	908	85573
210	912	85620
211	917	85627
212	922	85656
213	926	85662
214	931	85695
215	935	85698
216	940	85785
217	945	85791
218	951	85907
219	955	85944
220	961	86016
221	966	86062
222	971	86135
223	976	86198
224	981	86268
225	985	86265
226	990	86279
227	995	86298
228	1000	86384
229	1004	86355
230	1009	86386
231	1014	86412
232	1018	86366
233	1022	86400
234	1028	86506
235	1033	86540
236	1037	86494
237	1041	86499
238	1045	86474
239	1050	86510
240	1054	86491
241	1059	86538
242	1064	86535
243	1068	86553
244	1073	86581
245	1078	86581
246	1082	86592
247	1086	86536
248	1091	86539
249	1095	86563
250	1100	86574
251	1104	86590
252	1108	86538
253	1112	86523
254	1117	86534
255	1121	86501
256	1126	86530
257	1130	86519
258	1135	86579
259	1140	86563
260	1144	86588
261	1149	86581
262	1153	86592
263	1158	86587
264	1163	86619
265	1167	86606
266	1171	86596
267	1176	86648
268	1181	86675
269	1186	86702
270	1191	86723
271	1196	86751
272	1200	86773
273	1205	86790
274	1210	86834
275	1214	86828
276	1219	86832
277	1224	86868
278	1229	86882
279	1234	86915
280	1239	86955
281	1244	86988
282	1248	86989
283	1253	86990
284	1257	86971
285	1261	86987
286	1266	87007
287	1271	87048
288	1276	87067
289	1281	87080
290	1285	87081
291	1286	86810
292	1292	86914
293	1298	87006
294	1302	86998
295	1308	87071
296	1311	87035
297	1316	87044
298	1321	87065
299	1326	87103
300	1331	87130
301	1336	87151
302	1340	87158
303	1345	87183
304	1350	87178
305	1353	87132
306	1358	87153
307	1363	87144
308	1367	87128
309	1371	87132
310	1375	87074
311	1379	87073
312	1384	87104
313	1389	87102
314	1393	87110
315	1398	87118
316	1403	87153
317	1408	87171
318	1412	87156
319	1413	86910
320	1414	86709
321	1419	86748
322	1424	86769
323	1429	86785
324	1433	86792
325	1438	86793
326	1442	86787
327	1447	86832
328	1452	86845
329	1457	86900
330	1462	86904
331	1467	86940
332	1472	86949
333	1477	86991
334	1482	87032
335	1487	87069
336	1492	87087
337	1496	87079
338	1502	87123
339	1506	87110
340	1511	87144
341	1516	87166
342	1521	87187
343	1526	87220
344	1531	87224
345	1535	87215
346	1539	87217
347	1544	87230
348	1549	87246
349	1554	87264
350	1559	87280
351	1564	87318
352	1568	87325
353	1573	87340
354	1578	87367
355	1583	87374
356	1587	87362
357	1592	87370
358	1597	87380
359	1601	87390
360	1607	87449
361	1612	87483
362	1617	87495
363	1622	87499
364	1626	87511
365	1631	87524
366	1636	87538
367	1641	87555
368	1645	87540
369	1650	87546
370	1654	87532
371	1659	87543
372	1664	87562
373	1668	87551
374	1673	87558
375	1677	87557
376	1678	87345
377	1682	87345
378	1687	87361
379	1692	87386
380	1696	87383
381	1701	87371
382	1706	87381
383	1710	87398
384	1716	87435
385	1720	87430
386	1724	87418
387	1729	87435
388	1734	87426
389	1739	87452
390	1743	87457
391	1748	87474
392	1752	87453
393	1757	87463
394	1762	87484
395	1767	87516
396	1772	87506
397	1776	87513
398	1781	87528
399	1786	87552
400	1791	87577
401	1796	87582
402	1801	87604
403	1806	87624
404	1811	87655
405	1816	87658
406	1821	87696
407	1826	87696
408	1831	87718
409	1831	87525
410	1836	87548
