iter	Logloss
0	0.6866460641
1	0.6811826229
2	0.6762802601
3	0.6695934137
4	0.6631653309
5	0.6583789984
6	0.6533888578
7	0.6469628016
8	0.6426163514
9	0.6373974482
10	0.6323859692
11	0.6271855831
12	0.6230533918
13	0.6192330519
14	0.6155768236
15	0.610382398
16	0.6064215104
17	0.6016916831
18	0.5967365503
19	0.5926918983
20	0.5884363254
21	0.583335797
22	0.5793727239
23	0.5752958457
24	0.570943594
25	0.5668332179
26	0.5635320346
27	0.5589804649
28	0.5550387303
29	0.5507285992
30	0.5465453068
31	0.5424346129
32	0.5380227566
33	0.5351476669
34	0.5309582551
35	0.5269607703
36	0.523102204
37	0.5186843872
38	0.5158085823
39	0.5123000145
40	0.5092643499
41	0.5059781869
42	0.5036845605
43	0.5010214647
44	0.4982744853
45	0.4952444235
46	0.4921491146
47	0.4889144897
48	0.4859096607
49	0.4836624066
50	0.4806307157
51	0.4778448741
52	0.4752977292
53	0.4727925062
54	0.470204552
55	0.4678163528
56	0.4657595158
57	0.4625276724
58	0.460501194
59	0.4578257402
60	0.4550925891
61	0.4531800747
62	0.4511171977
63	0.4490213792
64	0.4469885031
65	0.4450105826
66	0.4431278706
67	0.4413721561
68	0.4389703274
69	0.4370161692
70	0.4349469344
71	0.4324278037
72	0.4305559794
73	0.4284135898
74	0.4267627398
75	0.4248603185
76	0.4231108824
77	0.4212706884
78	0.4198528131
79	0.4178944826
80	0.4163161914
81	0.4146983624
82	0.4130489826
83	0.4111740192
84	0.4093687137
85	0.4075701237
86	0.4061620235
87	0.4044204553
88	0.4026523431
89	0.4004000823
90	0.3985571861
91	0.3972670237
92	0.3956375519
93	0.3940982024
94	0.3924886386
95	0.3910470009
96	0.3893510501
97	0.3878001372
98	0.3863428036
99	0.384808143
100	0.383570234
101	0.3819274505
102	0.3807590008
103	0.3792778651
104	0.3776813348
105	0.3761334022
106	0.374465545
107	0.372881492
108	0.3715606531
109	0.370390296
110	0.3692062696
111	0.3677434524
112	0.3665611347
113	0.3649255037
114	0.3637123903
115	0.3623982668
116	0.36161081
117	0.3602359692
118	0.3588491281
119	0.3574949503
120	0.356227239
121	0.3549494743
122	0.3543117046
123	0.3529747327
124	0.3516967694
125	0.3503951232
126	0.3490525087
127	0.3478275935
128	0.3466486931
129	0.3455088536
130	0.3442008495
131	0.3431770007
132	0.3419278065
133	0.3406589826
134	0.3392835855
135	0.3378653924
136	0.3365925153
137	0.3356319269
138	0.3346670469
139	0.3336848021
140	0.3325454791
141	0.3316095273
142	0.3305178285
143	0.3294971983
144	0.3283394972
145	0.3273826043
146	0.3264512618
147	0.325432837
148	0.3243318597
149	0.3232650359
150	0.3224235376
151	0.3214759429
152	0.3205020825
153	0.3194993138
154	0.3187834223
155	0.3180336952
156	0.3169591824
157	0.3160549402
158	0.3150595427
