iter	Passed	Remaining
0	71	71166
1	139	69605
2	209	69716
3	266	66351
4	330	65837
5	390	64610
6	456	64746
7	522	64786
8	581	64018
9	639	63356
10	707	63606
11	774	63748
12	848	64395
13	909	64081
14	975	64042
15	1033	63568
16	1100	63635
17	1167	63683
18	1226	63337
19	1295	63473
20	1355	63186
21	1417	63021
22	1484	63061
23	1546	62902
24	1613	62926
25	1680	62944
26	1744	62852
27	1801	62531
28	1868	62566
29	1932	62476
30	1999	62509
31	2057	62242
32	2117	62060
33	2184	62070
34	2243	61856
35	2310	61862
36	2375	61829
37	2441	61808
38	2508	61805
39	2575	61810
40	2633	61606
41	2702	61652
42	2762	61484
43	2823	61349
44	2890	61333
45	2946	61116
46	3006	60958
47	3068	60855
48	3133	60806
49	3201	60834
50	3263	60730
51	3329	60690
52	3396	60689
53	3462	60666
54	3521	60513
55	3581	60367
56	3636	60159
57	3702	60132
58	3759	59955
59	3816	59787
60	3872	59610
61	3932	59490
62	3992	59381
63	4052	59261
64	4127	59373
65	4189	59282
66	4248	59164
67	4316	59158
68	4375	59039
69	4436	58946
70	4491	58774
71	4553	58693
72	4619	58656
73	4685	58638
74	4754	58634
75	4821	58618
76	4892	58640
77	4962	58660
78	5029	58640
79	5091	58556
80	5156	58500
81	5210	58332
82	5272	58253
83	5344	58278
84	5402	58157
85	5472	58161
86	5542	58163
87	5610	58143
88	5671	58053
89	5736	58000
90	5804	57977
91	5865	57893
92	5934	57876
93	5998	57813
94	6057	57703
95	6115	57588
96	6178	57515
97	6246	57490
98	6316	57488
99	6378	57408
100	6435	57284
101	6496	57197
102	6558	57118
103	6627	57102
104	6686	56998
105	6754	56968
106	6819	56915
107	6889	56904
108	6955	56854
109	7015	56762
110	7080	56703
111	7146	56660
112	7209	56591
113	7275	56541
114	7336	56457
115	7396	56367
116	7465	56338
117	7523	56235
118	7594	56226
119	7657	56151
120	7716	56055
121	7772	55937
122	7834	55858
123	7900	55810
124	7962	55735
125	8020	55632
126	8078	55529
127	8145	55494
128	8201	55373
129	8268	55333
130	8327	55239
131	8395	55206
132	8453	55104
133	8521	55070
134	8582	54992
135	8646	54929
136	8712	54885
137	8776	54823
138	8841	54764
139	8898	54665
140	8961	54596
141	9024	54527
142	9082	54433
143	9151	54402
144	9214	54333
145	9282	54295
146	9346	54233
147	9411	54179
148	9480	54144
149	9548	54110
150	9617	54076
151	9685	54035
152	9742	53931
153	9810	53891
154	9874	53832
155	9944	53802
156	10005	53721
157	10074	53686
158	10129	53576
159	10187	53484
160	10246	53398
161	10306	53312
162	10365	53226
163	10430	53171
164	10505	53166
165	10576	53137
166	10642	53085
167	10706	53023
168	10775	52982
169	10833	52893
170	10897	52828
171	10974	52830
172	11038	52766
173	11095	52670
174	11156	52594
175	11232	52589
176	11297	52529
177	11363	52474
178	11429	52423
179	11496	52370
180	11555	52285
181	11611	52187
182	11679	52142
183	11737	52055
184	11796	51969
185	11864	51922
186	11921	51828
187	11988	51779
188	12055	51729
189	12121	51677
190	12188	51626
191	12262	51606
192	12330	51559
193	12397	51507
194	12458	51429
195	12517	51347
196	12591	51325
197	12651	51243
198	12708	51155
199	12778	51113
200	12846	51066
201	12916	51027
202	12983	50976
203	13046	50907
204	13109	50840
205	13171	50769
206	13234	50700
207	13306	50666
208	13371	50605
209	13443	50573
210	13510	50520
211	13565	50422
212	13630	50361
213	13690	50283
214	13751	50209
215	13807	50117
216	13873	50060
217	13940	50007
218	13998	49919
